,phrase,count,count_no_rt,date,freq,freq_no_rt,odds,odds_no_rt,rank,rank_no_rt
64,in the open,9.0,9.0,2008-11-20,1.248350963054221e-06,1.2532221734548607e-06,801056.7777777778,797943.111111111,52254.5,51994.0
65,in the open,8.0,8.0,2008-11-22,1.1147585391200821e-06,1.117227465975885e-06,897055.25,895072.875,64575.5,64294.5
66,in the open,4.0,4.0,2008-11-23,5.851022436915739e-07,5.863933291894872e-07,1709103.0,1705340.0,155251.0,154580.5
67,in the open,9.0,9.0,2008-11-24,1.266662772851476e-06,1.2723998932315113e-06,789476.1111111111,785916.4444444444,51065.0,50706.5
68,in the open,7.0,7.0,2008-11-25,9.660409021717978e-07,9.701290340910274e-07,1035152.8571428573,1030790.7142857141,73960.0,73501.0
69,in the open,6.0,6.0,2008-11-26,8.420568079591209e-07,8.46834701253654e-07,1187568.3333333335,1180868.0,90727.0,89751.5
70,in the open,5.0,5.0,2008-11-27,7.940184367904948e-07,7.975992899452082e-07,1259416.6,1253762.4,102689.0,101766.5
71,in the open,7.0,6.0,2008-11-28,1.0297474926751854e-06,8.867081123890709e-07,971111.8571428572,1127766.8333333335,69785.5,85144.5
72,in the open,8.0,8.0,2008-11-29,1.1368304796756737e-06,1.1405899758679677e-06,879638.6249999999,876739.2499999999,63285.5,62866.0
73,in the open,8.0,8.0,2008-11-30,1.1471711619524624e-06,1.1509883824987612e-06,871709.5,868818.5,61786.0,61423.0
74,in the open,9.0,9.0,2008-12-01,1.2263904508333937e-06,1.2321681312582162e-06,815401.0,811577.5555555555,53789.5,53433.0
75,in the open,6.0,6.0,2008-12-02,8.15874635966936e-07,8.196558947944337e-07,1225678.4999999998,1220024.1666666667,94274.0,93628.5
76,in the open,8.0,8.0,2008-12-03,1.0687407361886971e-06,1.0740253153136947e-06,935680.6249999998,931076.7499999999,63315.5,62897.5
77,in the open,5.0,5.0,2008-12-04,6.473520130640815e-07,6.507682253823815e-07,1544754.6,1536645.4000000004,125827.0,124773.5
78,in the open,9.0,9.0,2008-12-05,1.1985853496646358e-06,1.205067872770005e-06,834316.8888888889,829828.7777777779,55094.0,54680.5
79,in the open,11.0,11.0,2008-12-06,1.5343514080394156e-06,1.540114307283887e-06,651741.1818181818,649302.4545454545,41356.0,41149.5
80,in the open,5.0,5.0,2008-12-07,7.128323509553094e-07,7.15616966305032e-07,1402854.4,1397395.6,120415.5,119631.0
